Number,Hemisphere,Stage,Relative mean local field potential,Increase or decrease in sleep,Relative depth %,Relative standard deviation %
6,left,light,4.0,increase,-12.452307221426103%,22.20167775403301%
6,left,light,14.999999999999998,decrease,13.014190140344969%,32.62825963794078%
6,left,deep,4.0,decrease,15.477774401356523%,46.2206444140989%
6,left,light,10.0,decrease,17.584308045993044%,28.956172318964168%
6,left,deep,5.0,increase,-23.259334052470955%,24.477608778724257%
6,left,light,4.0,increase,-13.212067092500362%,27.835503030237113%
6,left,deep,2.0,decrease,7.16401988842649%,0.003596757095833524%
6,left,light,12.0,decrease,0.335225407225186%,28.718116540989897%
6,left,rem,2.0,decrease,29.26073000402693%,20.185873005607956%
6,left,light,5.0,increase,-9.075910095641012%,20.690346927850317%
6,left,light,5.0,increase,-0.010159364934294243%,20.776620633162914%
6,left,deep,2.0,decrease,14.36498626096922%,28.262052678065025%
6,left,rem,3.0,decrease,12.667686582955037%,11.171383917395518%
6,left,light,5.0,decrease,13.496918039877995%,24.479204711747375%
6,left,deep,4.0,increase,-12.27192695234428%,7.995791302225723%
6,left,light,6.0,increase,-11.52921832779299%,15.640237777670443%
6,left,light,7.0,increase,-32.581253269571434%,23.17977592371051%
6,left,rem,2.0,decrease,10.408992767690936%,8.313383492298524%
6,left,light,11.0,decrease,12.87988904553229%,21.45739928298856%
6,left,light,6.0,increase,-12.991867441056867%,14.106967604992388%
6,left,light,4.0,increase,-11.897050329689126%,37.75168568814105%
6,left,light,7.0,increase,-192.68990983426048%,74.45048627237341%
6,left,deep,3.0,increase,-45.59455018322958%,4.02695582010194%
6,left,rem,4.0,decrease,62.063715492494445%,131.3920367831467%
6,left,light,7.0,increase,-11.825585213679945%,15.509692042625522%
6,left,light,3.0,increase,-6.473308395730376%,8.327143502687631%
6,left,light,7.0,decrease,6.409086201214824%,25.726357226288453%
6,left,rem,3.0,increase,-2.7196960447232787%,10.814029196125635%
6,left,light,14.0,decrease,2.179013202521373%,10.449071121295406%
6,left,deep,5.0,decrease,20.771688384633208%,18.69859781329202%
6,left,light,7.0,decrease,4.2297174247823905%,10.151389901087487%
6,left,rem,2.0,increase,-24.190430846778465%,33.66871697922745%
6,left,light,3.0,decrease,3.722918622422329%,9.882190266256504%
6,left,rem,5.0,increase,-8.674909155169315%,10.73405353465753%
6,left,light,9.0,increase,-2.0530409591832814%,20.023474506523975%
6,left,light,11.0,increase,-2.5679413668045523%,25.40833536521146%
6,left,rem,2.0,increase,-11.863528386561164%,10.09558835175124%
6,left,light,4.0,decrease,15.27399952432581%,14.633039217957458%
6,left,deep,5.0,increase,-36.66104056983487%,34.90875783772003%
6,left,rem,2.0,decrease,0.40597056016617916%,0.00898059302258004%
6,left,light,8.0,increase,-36.901985214731084%,41.81654439758595%
6,left,deep,2.0,decrease,34.01070581041206%,76.11098690431862%
6,left,light,12.0,decrease,2.381788261261699%,51.80493355279167%
6,right,deep,2.0,increase,-2.6112431112455954%,18.445363133472043%
6,right,light,3.0,increase,-28.445771209353836%,22.221552440195268%
6,right,light,3.0,increase,-28.90547540916512%,12.370670254029777%
6,right,rem,3.0,increase,-12.246208621079553%,32.86556660730481%
6,right,light,28.0,decrease,46.79704724753199%,33.8756035909437%
6,right,light,7.0,increase,-25.189266064289523%,17.76535855706817%
6,right,light,2.0,increase,-72.65430576708403%,20.2022764837808%
6,right,light,7.0,increase,-152.68480029222033%,76.89424258756651%
6,right,rem,2.0,increase,-9733.717098928902%,10.87787493856701%
6,right,light,4.0,increase,-5.39518985930298%,0.8691358549437889%
6,right,light,14.999999999999998,increase,-4.871289728875174%,12.304296846881554%
6,right,deep,4.0,decrease,8.869413796389575%,9.707814748752282%
6,right,light,10.0,increase,-21.440760183813108%,8.245887844930875%
6,right,deep,5.0,increase,-5.889759256810755%,2.351836631659639%
6,right,light,4.0,increase,-14.86165693838826%,11.011506419459195%
6,right,deep,2.0,decrease,20.983008108813785%,7.8286822202796325%
6,right,light,12.0,decrease,1.798635197115006%,9.750061768824484%
6,right,rem,2.0,decrease,1.8627517531299553%,0.63686438570444%
6,right,light,5.0,decrease,4.781079888695898%,17.227251485049823%
6,right,light,5.0,increase,-13.530700281264632%,19.06836771294142%
6,right,deep,2.0,decrease,4.3017020676354365%,3.3540750275867013%
6,right,rem,3.0,decrease,98.4916141107652%,4.415574968518083%
6,right,light,5.0,decrease,65.94884171345944%,223.22753568753356%
6,right,deep,4.0,decrease,2.8072665237437735%,4.724493439114452%
6,right,light,6.0,increase,-11.452388573969111%,9.071179511679425%
6,right,light,7.0,decrease,2.473364306969695%,11.28153649857194%
6,right,rem,2.0,decrease,3.2032822939589525%,1.8621852065632012%
6,right,light,11.0,decrease,14.844422815140007%,23.771699065975817%
6,right,light,6.0,decrease,0.8972557869477796%,9.32672955913223%
6,right,light,4.0,increase,-3.677987038176548%,25.610493432059396%
6,right,light,7.0,increase,-9.18144382473916%,8.224189927873246%
6,right,deep,3.0,increase,-49.62465943439183%,24.035575095662107%
6,right,rem,4.0,decrease,78.32047981012732%,199.97824101149027%
6,right,light,7.0,increase,-10.946389752020439%,11.215658155843238%
6,right,light,3.0,increase,-7.0016335923349065%,11.455738540054208%
6,right,light,7.0,decrease,6.691835732452598%,12.560885302043934%
6,right,rem,3.0,decrease,20.593344843202313%,25.75277465758401%
